item,ID,itemLabel,stateLabel,countyLabel,latitude,longitude,inception,height in ,focalHeight,range in nauticalmiles,lightCharacteristic,heritageDesignation,image,yearOfTransfer,"
proceeds",satImage,noSatImg,Conveyd Lightstaition
http://www.wikidata.org/entity/Q5654559,Q5654559,Harbor Beach Light,Michigan,Harbor Beach,43.845556,-82.630833,1858,14,16,12,Al WR 10s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Harbor%20Beach%20Light.jpg,2010,,,,LocalGov
http://www.wikidata.org/entity/Q6397941,Q6397941,Kewaunee Pierhead Lighthouse,Wisconsin,Kewaunee,44.4572,-87.4931,1891,13,"13,5",15,F W,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/USCGkewauneeSep.JPG,2011,,,,LocalGov
http://www.wikidata.org/entity/Q6698798,Q6698798,Ludington Light,Michigan,Ludington,43.953611,-86.469444,1871,17,17,5,Iso G 6s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/LudingtonLight.jpg,2007,,,,LocalGov
http://www.wikidata.org/entity/Q12061470,Q12061470,Manistee Pierhead lights,Michigan,Manistee,44.2517,-86.3464,1870,12,17,15,Iso W 6s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Manistee%20North%20Pierhead%20Lighthouse.JPG,2011,,,,LocalGov
http://www.wikidata.org/entity/Q6817255,Q6817255,Menominee Pier Light,Michigan,Menominee,45.097222222,-87.585833333,1927,10,14,9,Oc R 4s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/MenomineeLight.jpg,2008,,,,LocalGov
http://www.wikidata.org/entity/Q7108231,Q7108231,Oswego Harbor West Pierhead Light,New York,Oswego County,43.4733,-76.5168,1880,12,"17,5",9,Fl RW 5s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/OswegoLighthouse2.jpg,2008,,,,LocalGov
http://www.wikidata.org/entity/Q7208119,Q7208119,Point Pinos Lighthouse,California,Pacific Grove,36.6334,-121.934,1855,13,27,17,Oc W 4s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Point%20Pinos%20Light%20during%20reconstruction%20%282013%29.jpg,2006,,,,LocalGov
http://www.wikidata.org/entity/Q7231028,Q7231028,Port Washington Breakwater Light,Wisconsin,Port Washington,43.3853,-87.8597,1889,18,24,8,Fl R 6s,,http://commons.wikimedia.org/wiki/Special:FilePath/Port%20Washington%20pier%20light.jpg,2016,,,,LocalGov
http://www.wikidata.org/entity/Q7260562,Q7260562,Punta Tuna Light,Puerto Rico,Maunabo,17.98830556,-65.88541667,1892,15,34,16,Fl(2) W 30s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Punta%20Tuna%20Lighthouse.JPG,2014,,,,LocalGov
http://www.wikidata.org/entity/Q1687043,Q1687043,Rondout Light,New York,Kingston,41.920833333,-73.9625,1838,15,16,9,Fl W 6s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Kingston%20-%20Rondout%202%20Lighthouse%202011.jpg,2002,,,,LocalGov
