satImageFN,imageFN,Name,ID,State,County,Latitude,Longitude,Date of inception,Height (m),Focalheight (m),Range (nm),Light characteristic,heritageDesignation,Conveyd Lightstaition,yearOfTransfer,"
proceeds"
Q8029912.png,Q8029912.jpg,Wolf Trap Light,Q8029912,Virginia,Mathews County,37.39,-76.19,1821,16,16,14,Fl W 15s,http://www.wikidata.org/entity/Q7934314,publicSale,2006,"$75,000"
Q6698798.png,Q6698798.jpg,Ludington Light,Q6698798,Michigan,Ludington,43.953611,-86.469444,1871,17,17,5,Iso G 6s,http://www.wikidata.org/entity/Q19558910,LocalGov,2007,
Q726301.png,Q726301.jpg,Ashtabula Harbor Light,Q726301,Ohio,Ashtabula County,41.9186,-80.7959,1905,12,16,8,Fl Y 6s,http://www.wikidata.org/entity/Q19558910,ngo,2007,
Q4928091.png,Q4928091.jpg,Bloody Point Bar Light,Q4928091,Maryland,Queen Anne's County,38.833,-76.391,1882,12,16,7,"FI W 6s, R sectors",,publicSale,2007,"$100,000"
Q5876983.png,Q5876983.jpg,Hog Island Shoal Light,Q5876983,Rhode Island,Newport County,41.632306,-71.273222,1886,18,"16,5",12,Iso W 6s,http://www.wikidata.org/entity/Q19558910,publicSale,2007,"$165,001"
Q5475898.png,Q5475898.jpg,Fourteen Foot Bank Light,Q5475898,Delaware,Kent County,39.0482,-75.1836,1886,12,18,13,"Fl W 9s, R Sector",http://www.wikidata.org/entity/Q19558910,publicSale,2007,"$200,000"
Q6695163.png,Q6695163.jpg,Lubec Channel Light,Q6695163,Maine,Washington County,44.84205194,-66.97661722,1890,12,16,6,Fl W 6s,http://www.wikidata.org/entity/Q19558910,publicSale,2007,"$46,000"
Q5084156.png,Q5084156.jpg,Charleston Light,Q5084156,South Carolina,Sullivan's Island,32.75791667,-79.84325,1960,43,50,26,Fl(2) W 30s,,federalTransfer,2008,
Q5084261.png,Q5084261.jpg,Charlevoix South Pier Light Station,Q5084261,Michigan,Charlevoix,45.320278,-85.265,1948,12,13,10,Fl R 4s,http://www.wikidata.org/entity/Q19558910,LocalGov,2008,
Q6817255.png,Q6817255.jpg,Menominee Pier Light,Q6817255,Michigan,Menominee,45.097222222,-87.585833333,1927,10,14,9,Oc R 4s,http://www.wikidata.org/entity/Q19558910,LocalGov,2008,
Q7108231.png,Q7108231.jpg,Oswego Harbor West Pierhead Light,Q7108231,New York,Oswego County,43.4733,-76.5168,1880,12,"17,5",9,Fl RW 5s,http://www.wikidata.org/entity/Q19558910,LocalGov,2008,
Q7611130.png,Q7611130.jpg,Stepping Stones Light,Q7611130,New York,New York,40.824333,-73.77475,1877,14,14,8,Oc G 4s,http://www.wikidata.org/entity/Q19558910,LocalGov,2008,
Q5880958.png,Q5880958.jpg,Holland Harbor Light,Q5880958,Michigan,Holland,42.7727,-86.2124,1872,13,15,14,Alt WR 10s,http://www.wikidata.org/entity/Q19558910,ngo,2008,
Q3378389.png,Q3378389.jpg,Sharps Island Light,Q3378389,Maryland,Talbot County,38.6391,-76.3757,1838,14,Retired,,,http://www.wikidata.org/entity/Q19558910,publicSale,2008,"$80,000"
Q5095636.png,Q5095636.jpg,Chicago Harbor Light,Q5095636,Illinois,Chicago,41.889444,-87.590556,1893,20,25,24,Fl R 5s,http://www.wikidata.org/entity/Q2222981,LocalGov,2009,
Q5419772.png,Q5419772.jpg,Execution Rocks Light,Q5419772,New York,New Rochelle,40.878139,-73.737861,1849,18,19,15,Fl W 10s,http://www.wikidata.org/entity/Q19558910,ngo,2009,
Q5898379.png,Q5898379.jpg,Hooper Island Light,Q5898379,Maryland,Dorchester County,38.25625,-76.24980556,1901,"10,5",19,9,"Fl W, 6s",http://www.wikidata.org/entity/Q19558910,ngo,2009,
Q7009889.png,Q7009889.jpg,New London Harbor Light,Q7009889,Connecticut,New London,41.31666,-72.08997,1760,27,27,14,"Iso W 6s, R sector",http://www.wikidata.org/entity/Q19558910,ngo,2009,
Q2566433.png,Q2566433.jpg,Whaleback Light,Q2566433,Maine,Kittery,43.058816,-70.69638,1830,15,18,14,Fl(2) W 10s,http://www.wikidata.org/entity/Q19558910,ngo,2009,
Q33320700.png,Q33320700.jpg,Cleveland East Pierhead Light,Q33320700,Ohio,Cleveland,41.510277777,-81.715277777,1911,"9,5",12,7,Iso G 6s,http://www.wikidata.org/entity/Q19558910,publicSale,2009,"$10,000"
Q5328070.png,Q5328070.jpg,East Charity Shoal Light,Q5328070,New York,Cape Vincent,44.0367,-76.4817,1877,12,16,9,Fl R 4s,http://www.wikidata.org/entity/Q19558910,publicSale,2009,"$25,501"
Q14692599.png,Q14692599.jpg,Duluth Harbor North Pier Light,Q14692599,Minnesota,Duluth,46.781,-92.0881,1910,11,13,11,Iso R 4s,http://www.wikidata.org/entity/Q19558910,publicSale,2009,"$31,000"
Q6672695.png,Q6672695.jpg,Long Island Head Light,Q6672695,Massachusetts,Boston,42.330216,-70.957673,1819,16,"36,5",6,Fl W 2.5s,http://www.wikidata.org/entity/Q19558910,federalTransfer,2010,
Q5471242.png,Q5471242.jpg,Fort Gratiot Light,Q5471242,Michigan,St. Clair County,43.006306,-82.422472,1825,26,25,18,Fl G 6s,http://www.wikidata.org/entity/Q19558910,LocalGov,2010,
Q5654559.png,Q5654559.jpg,Harbor Beach Light,Q5654559,Michigan,Harbor Beach,43.845556,-82.630833,1858,14,16,12,Al WR 10s,http://www.wikidata.org/entity/Q19558910,LocalGov,2010,
Q15207418.png,Q15207418.jpg,Cape San Juan Light,Q15207418,Puerto Rico,Fajardo,18.38111111,-65.61825,1882,14,79,26,Fl W 15s,http://www.wikidata.org/entity/Q19558910,ngo,2010,
Q3308122.png,Q3308122.jpg,Currituck Beach Lighthouse,Q3308122,North Carolina,Corolla,36.376667,-75.830833,1875,49,64,18,Fl W 20s,http://www.wikidata.org/entity/Q19558910,ngo,2010,
Q5244123.png,Q5244123.jpg,DeTour Reef Light,Q5244123,Michigan,Chippewa County,45.948889,-83.903056,1931,19,23,13,Fl W 10s,http://www.wikidata.org/entity/Q19558910,ngo,2010,
Q6942767.png,Q6942767.jpg,Muskegon South Pierhead Light,Q6942767,Michigan,Muskegon,43.2267,-86.3415,1851,"14,5",15,6,Fl R 4s,http://www.wikidata.org/entity/Q19558910,ngo,2010,
Q1581328.png,Q1581328.jpg,West Bank Light,Q1581328,Now York,Staten Island,40.538,-74.042806,1901,17,21,12,Iso R 6s,http://www.wikidata.org/entity/Q19558910,publicSale,2010,"$195,000"
Q6496156.png,Q6496156.jpg,Latimer Reef Light,Q6496156,New York,Long Island,41.304507,-71.933316,1804,15,17,9,Fl W 6s,http://www.wikidata.org/entity/Q19558910,publicSale,2010,"$225,000"
